exp_ins,nuls_ins,reg_code,libelle_de_la_circonscription,code_du_b_vote,exprimes,blancs,dep_name,voix_exp,epci_name,com_name,ndegpanneau,nuls_vot,location,sexe,blancs_ins,votants,exp_vot,nom,com_code,voix,prenom,nuls,code_de_la_circonscription,abstentions,blancs_vot,inscrits,dep_code,lib_du_b_vote,scrutin_code,reg_name,epci_code,voix_ins,vot_ins,abs_ins
72.34,0.34,93,11ème circonscription,50,858,33,Bouches-du-Rhône,"69,35",Métropole d'Aix-Marseille-Provence,Aix-en-Provence,1,0.45,[43.533989  5.439573],M,2.78,895,95.87,MACRON,13001,595,Emmanuel,4,11,291,3.69,1186,13,GYMNASE DU ROCHER DU DRAGON,PR2022,Provence-Alpes-Côte d'Azur,200054807,50.17,75.46,24.54
63.54,1.74,93,11ème circonscription,55,474,29,Bouches-du-Rhône,"37,13",Métropole d'Aix-Marseille-Provence,Aix-en-Provence,2,2.52,[43.531072  5.421912],F,3.89,516,91.86,LE PEN,13001,176,Marine,13,11,230,5.62,746,13,ECOLE CHATEAU DOUBLE,PR2022,Provence-Alpes-Côte d'Azur,200054807,23.59,69.17,30.83
67.03,0.73,93,11ème circonscription,58,730,56,Bouches-du-Rhône,"73,97",Métropole d'Aix-Marseille-Provence,Aix-en-Provence,1,1.01,[43.513805  5.443566],M,5.14,794,91.94,MACRON,13001,540,Emmanuel,8,11,295,7.05,1089,13,ECOLE DES FENOUILLERES,PR2022,Provence-Alpes-Côte d'Azur,200054807,49.59,72.91,27.09
53.23,1.8,93,11ème circonscription,81,561,41,Bouches-du-Rhône,"68,63",Métropole d'Aix-Marseille-Provence,Aix-en-Provence,1,3.06,[43.523231  5.413114],M,3.89,621,90.34,MACRON,13001,385,Emmanuel,19,11,433,6.6,1054,13,ECOLE JULES PAYOT,PR2022,Provence-Alpes-Côte d'Azur,200054807,36.53,58.92,41.08
57.12,1.55,93,11ème circonscription,82,626,27,Bouches-du-Rhône,"29,23",Métropole d'Aix-Marseille-Provence,Aix-en-Provence,2,2.54,[43.532322  5.414312],F,2.46,670,93.43,LE PEN,13001,183,Marine,17,11,426,4.03,1096,13,ECOLE DES DEUX ORMEAUX,PR2022,Provence-Alpes-Côte d'Azur,200054807,16.7,61.13,38.87
61.2,1.04,93,14ème circonscription,1,705,31,Bouches-du-Rhône,"28,23",Métropole d'Aix-Marseille-Provence,Aix-en-Provence,2,1.6,[43.529931  5.447869],F,2.69,748,94.25,LE PEN,13001,199,Marine,12,14,404,4.14,1152,13,HOTEL DE VILLE,PR2022,Provence-Alpes-Côte d'Azur,200054807,17.27,64.93,35.07
65.49,0.98,93,14ème circonscription,6,666,38,Bouches-du-Rhône,"25,98",Métropole d'Aix-Marseille-Provence,Aix-en-Provence,2,1.4,[43.523991  5.448288],F,3.74,714,93.28,LE PEN,13001,173,Marine,10,14,303,5.32,1017,13,COLLEGE MIGNET,PR2022,Provence-Alpes-Côte d'Azur,200054807,17.01,70.21,29.79
78.79,1.4,93,10ème circonscription,8,843,31,Bouches-du-Rhône,"40,69",Métropole d'Aix-Marseille-Provence,Allauch,1,1.69,[43.341323  5.485614],M,2.9,889,94.83,MACRON,13002,343,Emmanuel,15,10,181,3.49,1070,13,ECOLE POUNCHE,PR2022,Provence-Alpes-Côte d'Azur,200054807,32.06,83.08,16.92
70.13,1.11,93,10ème circonscription,16,317,24,Bouches-du-Rhône,"61,51",Métropole d'Aix-Marseille-Provence,Allauch,2,1.45,[43.341323  5.485614],F,5.31,346,91.62,LE PEN,13002,195,Marine,5,10,106,6.94,452,13,ECOLE POUNCHE,PR2022,Provence-Alpes-Côte d'Azur,200054807,43.14,76.55,23.45
65.72,1.24,93,16ème circonscription,1,581,59,Bouches-du-Rhône,"74,35",CA d'Arles-Crau-Camargue-Montagnette,Arles,1,1.69,[43.608782  4.610256],M,6.67,651,89.25,MACRON,13004,432,Emmanuel,11,16,233,9.06,884,13,HOTEL DE VILLE,PR2022,Provence-Alpes-Côte d'Azur,241300417,48.87,73.64,26.36
76.64,1.28,32,16ème circonscription,1,479,32,Nord,"30,06",CA Douaisis Agglo,Anhiers,1,1.54,[50.40324   3.157251],M,5.12,519,92.29,MACRON,59007,144,Emmanuel,8,16,106,6.17,625,59,SALLE ECOLE MATERNELLE,PR2022,Hauts-de-France,200044618,23.04,83.04,16.96
60.76,1.45,32,16ème circonscription,2,669,36,Nord,"29,15",CC Cœur d'Ostrevent,Aniche,1,2.22,[50.331421  3.253009],M,3.27,721,92.79,MACRON,59008,195,Emmanuel,16,16,380,4.99,1101,59,SALLE LOUIS POL,PR2022,Hauts-de-France,245901152,17.71,65.49,34.51
70.83,1.61,32,2ème circonscription,122,1010,65,Nord,"23,27",Métropole Européenne de Lille,Villeneuve-d'Ascq,2,2.09,[50.637916  3.147134],F,4.56,1098,91.99,LE PEN,59009,235,Marine,23,02,328,5.92,1426,59,G S PIERRE ET MARIE CURIE,PR2022,Hauts-de-France,200093201,16.48,77.0,23.0
59.78,2.05,32,20ème circonscription,2,611,25,Nord,"60,07",CA Valenciennes Métropole,Anzin,2,3.2,[50.375338  3.510851],F,2.45,657,93.0,LE PEN,59014,367,Marine,21,20,365,3.81,1022,59,ECOLE MATERNELLE GALLIENI,PR2022,Hauts-de-France,245901160,35.91,64.29,35.71
72.67,1.18,32,17ème circonscription,1,492,13,Nord,"36,59",CA Douaisis Agglo,Arleux,1,1.56,[50.281828  3.113927],M,1.92,513,95.91,MACRON,59015,180,Emmanuel,8,17,164,2.53,677,59,BUREAU DE VOTE N 1,PR2022,Hauts-de-France,200044618,26.59,75.78,24.22
72.67,1.18,32,17ème circonscription,1,492,13,Nord,"63,41",CA Douaisis Agglo,Arleux,2,1.56,[50.281828  3.113927],F,1.92,513,95.91,LE PEN,59015,312,Marine,8,17,164,2.53,677,59,BUREAU DE VOTE N 1,PR2022,Hauts-de-France,200044618,46.09,75.78,24.22
76.23,1.71,32,14ème circonscription,1,757,39,Nord,"55,48",CU de Dunkerque,Armbouts-Cappel,2,2.09,[50.978656  2.342494],F,3.93,813,93.11,LE PEN,59016,420,Marine,17,14,180,4.8,993,59,SALLE DES FETES PLACE DE LA MAIRIE,PR2022,Hauts-de-France,245900428,42.3,81.87,18.13
57.18,2.44,32,11ème circonscription,13,633,47,Nord,"46,76",Métropole Européenne de Lille,Armentières,1,3.82,[50.692113  2.879124],M,4.25,707,89.53,MACRON,59017,296,Emmanuel,27,11,400,6.65,1107,59,RESTAURANT SCOLAIRE A FRANCE,PR2022,Hauts-de-France,200093201,26.74,63.87,36.13
57.18,2.44,32,11ème circonscription,13,633,47,Nord,"53,24",Métropole Européenne de Lille,Armentières,2,3.82,[50.692113  2.879124],F,4.25,707,89.53,LE PEN,59017,337,Marine,27,11,400,6.65,1107,59,RESTAURANT SCOLAIRE A FRANCE,PR2022,Hauts-de-France,200093201,30.44,63.87,36.13
67.88,2.14,32,17ème circonscription,1,539,37,Nord,"40,63",CA Douaisis Agglo,Auby,1,2.87,[50.413974  3.064162],M,4.66,593,90.89,MACRON,59028,219,Emmanuel,17,17,201,6.24,794,59,BUREAU N 1 SALLE DES SPORTS M DUJARDIN,PR2022,Hauts-de-France,200044618,27.58,74.69,25.31
